,id,countLiquidated,countLiquidator,hasBorrowed,health,totalBorrowValueInEth,totalCollateralValueInEth,tokens.0.symbol,tokens.1.symbol,tokens.2.symbol,tokens.3.symbol,tokens.4.symbol,tokens.5.symbol,tokens.6.symbol,tokens.7.symbol,tokens.8.symbol,tokens.9.symbol,tokens.10.symbol,tokens.11.symbol,tokens.12.symbol,tokens.13.symbol
2881,0x009666c6e8972b6a51313512b5a6c01b48e54d1d,0,0,False,,0,0.0008282666700315561639800042496,cUSDC,,,,,,,,,,,,,
2882,0x0096896ef595546474dd5812d053ff05856be073,0,0,False,,0,0.0035966065826993538581819117232,cUSDC,cETH,,,,,,,,,,,,
2883,0x0096f02b9130e39985243744030a6bbb2f75de7e,0,0,False,,0,0.0008305110442833106848409387008,cUSDC,,,,,,,,,,,,,
2884,0x0096f84bf332d749d6dc2ca0b95ef578b0beaac8,0,0,False,,0,0.0008281985407568540135432785152,cUSDC,,,,,,,,,,,,,
2885,0x0096fdb87ecd895dbb204e63177ce67188e1709e,0,0,False,,0,0.00083114113458397518208055808,cUSDC,,,,,,,,,,,,,
2886,0x009705c564feb1097751b5795e8d212bf20f5a38,0,0,False,,0,0.0008313803396902502331301011456,cUSDC,,,,,,,,,,,,,
2887,0x009720e2bb3feb53328754d5f264a80c26f11b4e,0,0,False,,0,0.000287045511326169122453511604023598180928768,cDAI,,,,,,,,,,,,,
2888,0x00972d5cdae026d84dc9f8a01e9bee3dd455eca7,0,0,False,,0,0.0132908724700947699002150355,cETH,,,,,,,,,,,,,
2889,0x0097380d626efe92c5f43e4e682e1cf7e5d0fc57,0,0,False,,0,0.00083114483336627101569890496,cUSDC,,,,,,,,,,,,,
2890,0x009775c85a85838ee0059078c19016489cd9982d,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
2891,0x0097cc210bc454aa3d9e83bdcb0b26f01deb2a3c,0,0,False,,0,0,cREP,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cDAI,,,,,,
2892,0x0097d48a378ed94abdf4389217605a3c23250e2e,0,0,False,,0,0,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
2893,0x009805576bd0afd8f0abab563589189c4c432e07,0,0,False,,0,0.00083097112007045992766461056,cUSDC,,,,,,,,,,,,,
2894,0x00980da7c22b5f8034eae4de48e4febe02e856d8,0,0,False,,0,0.000831221964011692535166551808,cUSDC,,,,,,,,,,,,,
2895,0x00984f4e3142e76748dd3e49291cd747206eba2c,0,0,False,,0,0.0008329121549792224557798945024,cUSDC,,,,,,,,,,,,,
2896,0x00984fe604355c0e342c1a417feff0350f62e5c6,0,0,False,,0,0.0008304730442828391260257762176,cUSDC,,,,,,,,,,,,,
2897,0x00985a143c89bc7fb47dd210ef9bbb199fd67302,0,0,False,,0,0.000829994624771838701862860352,cUSDC,,,,,,,,,,,,,
2898,0x009876dfc6affd32e2a3a4b068f80bffb8b5bffc,0,0,False,,0,0.018935314288700563736139168,cETH,,,,,,,,,,,,,
2899,0x0098efbe405c76d630b79206dea15197ab606c66,0,0,False,,0,0.0008281599544243536020576372736,cUSDC,,,,,,,,,,,,,
2900,0x0098f043df37bfcd9546723d8afa865f5534f80e,0,0,False,,0,0.0008307664512330605152481866368,cUSDC,,,,,,,,,,,,,
