,buyer,seller,price,timestamp
43,0x8a450f10ee471c20ac94cd23ff1b4e293915db34,0x85c98653b5b9d0687f92f25d632cd78cb95507c8,25000000000000000000000,1578379226
44,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,11900000000000000000000,1578462340
45,0xcc3d67f5e36f552f8aad08be25e331555890a747,0xe6be2096dbe9560cfb01b45804514d075d6585bc,11977000000000000000000,1578500010
46,0x7caa3581bda936542e719f62139340a76e8e9283,0xf98ef509679b367270b5256f65d780295e446a16,30000000000000000000000,1578513936
47,0x0cf6cdb4d406179f12a15797869ac6bd941c2535,0xc8a974a97f6a7f57b6ce09aed5905d5547039f11,9999000000000000000000,1578524469
48,0x84020f699435f187f100343e32f82ece0447cd7e,0xf98ef509679b367270b5256f65d780295e446a16,13500000000000000000000,1578544075
49,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x4e40243efd7e849ebed0eb982a2bb99a8ac7bc07,10900000000000000000000,1578549241
50,0x4e40243efd7e849ebed0eb982a2bb99a8ac7bc07,0x83b7b6f360a9895d163ea797d9b939b9173b292a,16200000000000000000000,1578550079
51,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x79d899379844d35a1a1f5d51d3185dd821f44dc1,11000000000000000000000,1578553191
52,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x91e222ed7598efbcfe7190481f2fd14897e168c8,10500000000000000000000,1578553191
53,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x119fc9119c3d34415ad21707f477a1feca9895d5,11000000000000000000000,1578553392
54,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x0cf6cdb4d406179f12a15797869ac6bd941c2535,10998000000000000000000,1578553562
55,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x79d899379844d35a1a1f5d51d3185dd821f44dc1,11000000000000000000000,1578553947
56,0xcc3d67f5e36f552f8aad08be25e331555890a747,0xde7f46df36ea937594eea1fb867d157b3d1ac132,10900000000000000000000,1578563641
57,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x8445165437cb63affb2f143378d0ec63e0249582,11000000000000000000000,1578571175
58,0xcc3d67f5e36f552f8aad08be25e331555890a747,0xc0b8cea5a31f73ad4bf5b4949d42c1a69353c99c,10899000000000000000000,1578571247
59,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x1db6acbf285b07d1a23ffcb867bbd28b0646097c,10500000000000000000000,1578572087
60,0xa9ac72e3bbd107ec40546fc1c68c5e40fc7a9dd9,0xf1322111c9eb1d423b345a106bc57aca5d2f386d,12999000000000000000000,1578583386
61,0xa9ac72e3bbd107ec40546fc1c68c5e40fc7a9dd9,0xe0c9bf0770858fdb28ca6804a88c5337133a27ec,13999000000000000000000,1578583514
62,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x1cae12583f2798e022e5f358233d1e250bea2263,11000000000000000000000,1578597797
63,0xe68ae5369945a75cee337a6c29a92eec95189094,0xf98ef509679b367270b5256f65d780295e446a16,16990000000000000000000,1578608746
64,0xc962e35b4384f58a2acdd8ad9a2e32b7691ee113,0x83b7b6f360a9895d163ea797d9b939b9173b292a,12500000000000000000000,1578621980
65,0xc962e35b4384f58a2acdd8ad9a2e32b7691ee113,0x83b7b6f360a9895d163ea797d9b939b9173b292a,12500000000000000000000,1578622079
66,0x4e40243efd7e849ebed0eb982a2bb99a8ac7bc07,0xf98ef509679b367270b5256f65d780295e446a16,15990000000000000000000,1578626152
67,0xc962e35b4384f58a2acdd8ad9a2e32b7691ee113,0xf4ed4e4d59fdcec9ec5772e274ba7bafc863d816,39500000000000000000000,1578641115
68,0x0e76f70443b0cef1cfb96772e8c3bdd837d39065,0x83b7b6f360a9895d163ea797d9b939b9173b292a,12900000000000000000000,1578693852
69,0x4a1740250449a4cc1d0528ac071459dcbe1c44ff,0xb3a422a68cec22435ed002caab4d0d2eb6cce28c,16750000000000000000000,1578696721
